he ain't cracking	he isn't cracking
she ain't cracking	she isn't cracking
they ain't cracking	they aren't cracking
he ain't loving	he isn't loving
she ain't loving	she isn't loving
they ain't loving	they aren't loving
he ain't acting	he isn't acting
she ain't acting	she isn't acting
they ain't acting	they aren't acting
he ain't blowing	he isn't blowing
she ain't blowing	she isn't blowing
they ain't blowing	they aren't blowing
he ain't f’ing	he isn't f’ing
she ain't f’ing	she isn't f’ing
they ain't f’ing	they aren't f’ing
he ain't playing	he isn't playing
she ain't playing	she isn't playing
they ain't playing	they aren't playing
he ain't balling	he isn't balling
she ain't balling	she isn't balling
they ain't balling	they aren't balling
he ain't linking	he isn't linking
she ain't linking	she isn't linking
they ain't linking	they aren't linking
he ain't hating	he isn't hating
she ain't hating	she isn't hating
they ain't hating	they aren't hating
he ain't busting	he isn't busting
she ain't busting	she isn't busting
they ain't busting	they aren't busting
he ain't bugging	he isn't bugging
she ain't bugging	she isn't bugging
they ain't bugging	they aren't bugging
he ain't fooling	he isn't fooling
she ain't fooling	she isn't fooling
they ain't fooling	they aren't fooling
he ain't vibing	he isn't vibing
she ain't vibing	she isn't vibing
they ain't vibing	they aren't vibing
he ain't rapping	he isn't rapping
she ain't rapping	she isn't rapping
they ain't rapping	they aren't rapping
he ain't blasting	he isn't blasting
she ain't blasting	she isn't blasting
they ain't blasting	they aren't blasting
he ain't slaying	he isn't slaying
she ain't slaying	she isn't slaying
they ain't slaying	they aren't slaying
he ain't whipping	he isn't whipping
she ain't whipping	she isn't whipping
they ain't whipping	they aren't whipping
he ain't finding	he isn't finding
she ain't finding	she isn't finding
they ain't finding	they aren't finding
he ain't parking	he isn't parking
she ain't parking	she isn't parking
they ain't parking	they aren't parking
he ain't creeping	he isn't creeping
she ain't creeping	she isn't creeping
they ain't creeping	they aren't creeping
he ain't fricking	he isn't fricking
she ain't fricking	she isn't fricking
they ain't fricking	they aren't fricking
he ain't dripping	he isn't dripping
she ain't dripping	she isn't dripping
they ain't dripping	they aren't dripping
he ain't stitching	he isn't stitching
she ain't stitching	she isn't stitching
they ain't stitching	they aren't stitching
he ain't killing	he isn't killing
she ain't killing	she isn't killing
they ain't killing	they aren't killing
he ain't believing	he isn't believing
she ain't believing	she isn't believing
they ain't believing	they aren't believing
he ain't cutting	he isn't cutting
she ain't cutting	she isn't cutting
they ain't cutting	they aren't cutting
he ain't getting	he isn't getting
she ain't getting	she isn't getting
they ain't getting	they aren't getting
he ain't riding	he isn't riding
she ain't riding	she isn't riding
they ain't riding	they aren't riding
he ain't walking	he isn't walking
she ain't walking	she isn't walking
they ain't walking	they aren't walking
he ain't bitching	he isn't bitching
she ain't bitching	she isn't bitching
they ain't bitching	they aren't bitching
he ain't everything	he isn't everything
she ain't everything	she isn't everything
they ain't everything	they aren't everything
he ain't kicking	he isn't kicking
she ain't kicking	she isn't kicking
they ain't kicking	they aren't kicking
he ain't kidding	he isn't kidding
she ain't kidding	she isn't kidding
they ain't kidding	they aren't kidding
he ain't banging	he isn't banging
she ain't banging	she isn't banging
they ain't banging	they aren't banging
he ain't breaking	he isn't breaking
she ain't breaking	she isn't breaking
they ain't breaking	they aren't breaking
he ain't chatting	he isn't chatting
she ain't chatting	she isn't chatting
they ain't chatting	they aren't chatting
he ain't amazing	he isn't amazing
she ain't amazing	she isn't amazing
they ain't amazing	they aren't amazing
he ain't hecking	he isn't hecking
she ain't hecking	she isn't hecking
they ain't hecking	they aren't hecking
he ain't starting	he isn't starting
she ain't starting	she isn't starting
they ain't starting	they aren't starting
he ain't cheesing	he isn't cheesing
she ain't cheesing	she isn't cheesing
they ain't cheesing	they aren't cheesing
he ain't dreaming	he isn't dreaming
she ain't dreaming	she isn't dreaming
they ain't dreaming	they aren't dreaming
he ain't fronting	he isn't fronting
she ain't fronting	she isn't fronting
they ain't fronting	they aren't fronting
he ain't drinking	he isn't drinking
she ain't drinking	she isn't drinking
they ain't drinking	they aren't drinking
he ain't darling	he isn't darling
she ain't darling	she isn't darling
they ain't darling	they aren't darling
he ain't pulling	he isn't pulling
she ain't pulling	she isn't pulling
they ain't pulling	they aren't pulling
he ain't talking	he isn't talking
she ain't talking	she isn't talking
they ain't talking	they aren't talking
he ain't hanging	he isn't hanging
she ain't hanging	she isn't hanging
they ain't hanging	they aren't hanging
he ain't cooking	he isn't cooking
she ain't cooking	she isn't cooking
they ain't cooking	they aren't cooking
he ain't staying	he isn't staying
she ain't staying	she isn't staying
they ain't staying	they aren't staying
he ain't using	he isn't using
she ain't using	she isn't using
they ain't using	they aren't using
he ain't packing	he isn't packing
she ain't packing	she isn't packing
they ain't packing	they aren't packing
he ain't pissing	he isn't pissing
she ain't pissing	she isn't pissing
they ain't pissing	they aren't pissing
he ain't capping	he isn't capping
she ain't capping	she isn't capping
they ain't capping	they aren't capping
he ain't throwing	he isn't throwing
she ain't throwing	she isn't throwing
they ain't throwing	they aren't throwing
he ain't singing	he isn't singing
she ain't singing	she isn't singing
they ain't singing	they aren't singing
he ain't bleeding	he isn't bleeding
she ain't bleeding	she isn't bleeding
they ain't bleeding	they aren't bleeding
he ain't spinning	he isn't spinning
she ain't spinning	she isn't spinning
they ain't spinning	they aren't spinning
he ain't calling	he isn't calling
she ain't calling	she isn't calling
they ain't calling	they aren't calling
he ain't dancing	he isn't dancing
she ain't dancing	she isn't dancing
they ain't dancing	they aren't dancing
he ain't dropping	he isn't dropping
she ain't dropping	she isn't dropping
they ain't dropping	they aren't dropping
he ain't rambling	he isn't rambling
she ain't rambling	she isn't rambling
they ain't rambling	they aren't rambling
he ain't willing	he isn't willing
she ain't willing	she isn't willing
they ain't willing	they aren't willing
he ain't shitting	he isn't shitting
she ain't shitting	she isn't shitting
they ain't shitting	they aren't shitting
he ain't flipping	he isn't flipping
she ain't flipping	she isn't flipping
they ain't flipping	they aren't flipping
he ain't dying	he isn't dying
she ain't dying	she isn't dying
they ain't dying	they aren't dying
he ain't watching	he isn't watching
she ain't watching	she isn't watching
they ain't watching	they aren't watching
he ain't feeling	he isn't feeling
she ain't feeling	she isn't feeling
they ain't feeling	they aren't feeling
he ain't missing	he isn't missing
she ain't missing	she isn't missing
they ain't missing	they aren't missing
he ain't waving	he isn't waving
she ain't waving	she isn't waving
they ain't waving	they aren't waving
he ain't cussing	he isn't cussing
she ain't cussing	she isn't cussing
they ain't cussing	they aren't cussing
he ain't bobbing	he isn't bobbing
she ain't bobbing	she isn't bobbing
they ain't bobbing	they aren't bobbing
he ain't flexing	he isn't flexing
she ain't flexing	she isn't flexing
they ain't flexing	they aren't flexing
he ain't begging	he isn't begging
she ain't begging	she isn't begging
they ain't begging	they aren't begging
he ain't paying	he isn't paying
she ain't paying	she isn't paying
they ain't paying	they aren't paying
he ain't standing	he isn't standing
she ain't standing	she isn't standing
they ain't standing	they aren't standing
he ain't coming	he isn't coming
she ain't coming	she isn't coming
they ain't coming	they aren't coming
he ain't frigging	he isn't frigging
she ain't frigging	she isn't frigging
they ain't frigging	they aren't frigging
he ain't stepping	he isn't stepping
she ain't stepping	she isn't stepping
they ain't stepping	they aren't stepping
he ain't picking	he isn't picking
she ain't picking	she isn't picking
they ain't picking	they aren't picking
he ain't puffing	he isn't puffing
she ain't puffing	she isn't puffing
they ain't puffing	they aren't puffing
he ain't asking	he isn't asking
she ain't asking	she isn't asking
they ain't asking	they aren't asking
he ain't morning	he isn't morning
she ain't morning	she isn't morning
they ain't morning	they aren't morning
he ain't eating	he isn't eating
she ain't eating	she isn't eating
they ain't eating	they aren't eating
he ain't icing	he isn't icing
she ain't icing	she isn't icing
they ain't icing	they aren't icing
he ain't breathing	he isn't breathing
she ain't breathing	she isn't breathing
they ain't breathing	they aren't breathing
he ain't digging	he isn't digging
she ain't digging	she isn't digging
they ain't digging	they aren't digging
he ain't laughing	he isn't laughing
she ain't laughing	she isn't laughing
they ain't laughing	they aren't laughing
he ain't shining	he isn't shining
she ain't shining	she isn't shining
they ain't shining	they aren't shining
he ain't pimping	he isn't pimping
she ain't pimping	she isn't pimping
they ain't pimping	they aren't pimping
he ain't catching	he isn't catching
she ain't catching	she isn't catching
they ain't catching	they aren't catching
he ain't saying	he isn't saying
she ain't saying	she isn't saying
they ain't saying	they aren't saying
he ain't jumping	he isn't jumping
she ain't jumping	she isn't jumping
they ain't jumping	they aren't jumping
he ain't faking	he isn't faking
she ain't faking	she isn't faking
they ain't faking	they aren't faking
he ain't knocking	he isn't knocking
she ain't knocking	she isn't knocking
they ain't knocking	they aren't knocking
he ain't rocking	he isn't rocking
she ain't rocking	she isn't rocking
they ain't rocking	they aren't rocking
he ain't summing	he isn't summing
she ain't summing	she isn't summing
they ain't summing	they aren't summing
he ain't selling	he isn't selling
she ain't selling	she isn't selling
they ain't selling	they aren't selling
he ain't effing	he isn't effing
she ain't effing	she isn't effing
they ain't effing	they aren't effing
he ain't ghosting	he isn't ghosting
she ain't ghosting	she isn't ghosting
they ain't ghosting	they aren't ghosting
he ain't leaving	he isn't leaving
she ain't leaving	she isn't leaving
they ain't leaving	they aren't leaving
he ain't smoking	he isn't smoking
she ain't smoking	she isn't smoking
they ain't smoking	they aren't smoking
he ain't waiting	he isn't waiting
she ain't waiting	she isn't waiting
they ain't waiting	they aren't waiting
he ain't slipping	he isn't slipping
she ain't slipping	she isn't slipping
they ain't slipping	they aren't slipping
he ain't flaming	he isn't flaming
she ain't flaming	she isn't flaming
they ain't flaming	they aren't flaming
he ain't blazing	he isn't blazing
she ain't blazing	she isn't blazing
they ain't blazing	they aren't blazing
he ain't bringing	he isn't bringing
she ain't bringing	she isn't bringing
they ain't bringing	they aren't bringing
he ain't checking	he isn't checking
she ain't checking	she isn't checking
they ain't checking	they aren't checking
he ain't bigging	he isn't bigging
she ain't bigging	she isn't bigging
they ain't bigging	they aren't bigging
he ain't sitting	he isn't sitting
she ain't sitting	she isn't sitting
they ain't sitting	they aren't sitting
he ain't burning	he isn't burning
she ain't burning	she isn't burning
they ain't burning	they aren't burning
he ain't greeting	he isn't greeting
she ain't greeting	she isn't greeting
they ain't greeting	they aren't greeting
he ain't falling	he isn't falling
she ain't falling	she isn't falling
they ain't falling	they aren't falling
he ain't nothing	he isn't nothing
she ain't nothing	she isn't nothing
they ain't nothing	they aren't nothing
he ain't praying	he isn't praying
she ain't praying	she isn't praying
they ain't praying	they aren't praying
he ain't messing	he isn't messing
she ain't messing	she isn't messing
they ain't messing	they aren't messing
he ain't moving	he isn't moving
she ain't moving	she isn't moving
they ain't moving	they aren't moving
he ain't looking	he isn't looking
she ain't looking	she isn't looking
they ain't looking	they aren't looking
he ain't telling	he isn't telling
she ain't telling	she isn't telling
they ain't telling	they aren't telling
he ain't tweaking	he isn't tweaking
she ain't tweaking	she isn't tweaking
they ain't tweaking	they aren't tweaking
he ain't giving	he isn't giving
she ain't giving	she isn't giving
they ain't giving	they aren't giving
he ain't keeping	he isn't keeping
she ain't keeping	she isn't keeping
they ain't keeping	they aren't keeping
he ain't cruising	he isn't cruising
she ain't cruising	she isn't cruising
they ain't cruising	they aren't cruising
he ain't sending	he isn't sending
she ain't sending	she isn't sending
they ain't sending	they aren't sending
he ain't swinging	he isn't swinging
she ain't swinging	she isn't swinging
they ain't swinging	they aren't swinging
he ain't listening	he isn't listening
she ain't listening	she isn't listening
they ain't listening	they aren't listening
he ain't living	he isn't living
she ain't living	she isn't living
